"filename", "language", "Markdown", "JSON", "Python", "YAML", "CSV", "pip requirements", "Shell Script", "comment", "blank", "total"
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_053115.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_053257.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_053340.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_054224.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_054536.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_055338.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_055510.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_060049.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_060607.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_060619.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_060624.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_061935.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_062718.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\Engine_Matrix\__init__.py", "Python", 0, 0, 2, 0, 0, 0, 0, 1, 2, 5
"d:\MyQuantProject\Engine_Matrix\advanced_simulator.py", "Python", 0, 0, 101, 0, 0, 0, 0, 129, 43, 273
"d:\MyQuantProject\Engine_Matrix\backtest_engine.py", "Python", 0, 0, 169, 0, 0, 0, 0, 106, 54, 329
"d:\MyQuantProject\Engine_Matrix\external_wrappers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MyQuantProject\Engine_Matrix\simulators\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MyQuantProject\GUI_Client\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MyQuantProject\GUI_Client\app.py", "Python", 0, 0, 77, 0, 0, 0, 0, 18, 19, 114
"d:\MyQuantProject\GUI_Client\app_v2.py", "Python", 0, 0, 1550, 0, 0, 0, 0, 174, 290, 2014
"d:\MyQuantProject\GUI_Client\xgboost_worker.py", "Python", 0, 0, 141, 0, 0, 0, 0, 14, 31, 186
"d:\MyQuantProject\README.md", "Markdown", 1164, 0, 0, 0, 0, 0, 0, 0, 329, 1493
"d:\MyQuantProject\RELEASE_v3_SUMMARY.md", "Markdown", 98, 0, 0, 0, 0, 0, 0, 0, 37, 135
"d:\MyQuantProject\Strategy_Pool\adapters\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MyQuantProject\Strategy_Pool\base\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MyQuantProject\Strategy_Pool\custom\API_REFERENCE.md", "Markdown", 298, 0, 0, 0, 0, 0, 0, 0, 106, 404
"d:\MyQuantProject\Strategy_Pool\custom\INTEGRATION_GUIDE.md", "Markdown", 375, 0, 0, 0, 0, 0, 0, 0, 137, 512
"d:\MyQuantProject\Strategy_Pool\custom\XGBOOST_ML_STRATEGY_GUIDE.md", "Markdown", 263, 0, 0, 0, 0, 0, 0, 0, 110, 373
"d:\MyQuantProject\Strategy_Pool\custom\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MyQuantProject\Strategy_Pool\custom\cyclical_strategies.py", "Python", 0, 0, 149, 0, 0, 0, 0, 96, 58, 303
"d:\MyQuantProject\Strategy_Pool\custom\mean_reversion_volatility.py", "Python", 0, 0, 146, 0, 0, 0, 0, 159, 47, 352
"d:\MyQuantProject\Strategy_Pool\custom\model_analytics.py", "Python", 0, 0, 315, 0, 0, 0, 0, 29, 45, 389
"d:\MyQuantProject\Strategy_Pool\custom\model_manager.py", "Python", 0, 0, 257, 0, 0, 0, 0, 80, 76, 413
"d:\MyQuantProject\Strategy_Pool\custom\xgboost_ml_strategy.py", "Python", 0, 0, 342, 0, 0, 0, 0, 231, 105, 678
"d:\MyQuantProject\Strategy_Pool\krus_grid_search.py", "Python", 0, 0, 65, 0, 0, 0, 0, 6, 6, 77
"d:\MyQuantProject\Strategy_Pool\strategies.py", "Python", 0, 0, 347, 0, 0, 0, 0, 170, 81, 598
"d:\MyQuantProject\create.py", "Python", 0, 0, 20, 0, 0, 0, 0, 9, 4, 33
"d:\MyQuantProject\data\best_strategies.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyQuantProject\docs\CODE_REVIEW\CODE_REVIEW_ACTIONABLE_FIXES_2026_03_23.md", "Markdown", 158, 0, 0, 0, 0, 0, 0, 0, 58, 216
"d:\MyQuantProject\docs\CODE_REVIEW\CODE_REVIEW_ACTION_PLAN.md", "Markdown", 340, 0, 0, 0, 0, 0, 0, 0, 89, 429
"d:\MyQuantProject\docs\CODE_REVIEW\CODE_REVIEW_COMPREHENSIVE_v3.md", "Markdown", 689, 0, 0, 0, 0, 0, 0, 0, 157, 846
"d:\MyQuantProject\docs\CODE_REVIEW\CODE_REVIEW_DETAILED_APP_V2.md", "Markdown", 577, 0, 0, 0, 0, 0, 0, 0, 185, 762
"d:\MyQuantProject\docs\CODE_REVIEW\CODE_REVIEW_EXECUTIVE_SUMMARY.md", "Markdown", 262, 0, 0, 0, 0, 0, 0, 0, 90, 352
"d:\MyQuantProject\docs\CODE_REVIEW\CODE_REVIEW_FINAL_SUMMARY_2026_03_23.md", "Markdown", 171, 0, 0, 0, 0, 0, 0, 0, 62, 233
"d:\MyQuantProject\docs\CODE_REVIEW\CODE_REVIEW_QUICK_REFERENCE.md", "Markdown", 141, 0, 0, 0, 0, 0, 0, 0, 45, 186
"d:\MyQuantProject\docs\CODE_REVIEW\COMPREHENSIVE_CODE_REVIEW_2026_03_23.md", "Markdown", 435, 0, 0, 0, 0, 0, 0, 0, 131, 566
"d:\MyQuantProject\docs\DETAILED_GITHUB_TUTORIAL.md", "Markdown", 474, 0, 0, 0, 0, 0, 0, 0, 181, 655
"d:\MyQuantProject\docs\FIXES\BEFORE_AFTER_COMPARISON.md", "Markdown", 279, 0, 0, 0, 0, 0, 0, 0, 75, 354
"d:\MyQuantProject\docs\FIXES\BUG_FIXES_REPORT_v2.1.1.md", "Markdown", 196, 0, 0, 0, 0, 0, 0, 0, 72, 268
"d:\MyQuantProject\docs\FIXES\CRITICAL_FIXES_CHECKLIST.md", "Markdown", 424, 0, 0, 0, 0, 0, 0, 0, 117, 541
"d:\MyQuantProject\docs\FIXES\FINAL_CHECKLIST.md", "Markdown", 84, 0, 0, 0, 0, 0, 0, 0, 32, 116
"d:\MyQuantProject\docs\FIXES\FINAL_VERIFICATION_CHECKLIST.md", "Markdown", 251, 0, 0, 0, 0, 0, 0, 0, 67, 318
"d:\MyQuantProject\docs\GITHUB\GITHUB_QUICK_REFERENCE.md", "Markdown", 262, 0, 0, 0, 0, 0, 0, 0, 96, 358
"d:\MyQuantProject\docs\GITHUB\GITHUB_RELEASE_CHECKLIST.md", "Markdown", 165, 0, 0, 0, 0, 0, 0, 0, 67, 232
"d:\MyQuantProject\docs\GITHUB\GITHUB_WINDOWS_GUIDE.md", "Markdown", 245, 0, 0, 0, 0, 0, 0, 0, 94, 339
"d:\MyQuantProject\docs\GITHUB\github_release.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 114, 7, 17, 138
"d:\MyQuantProject\docs\GUIDES\FILE_NAVIGATION_GUIDE.md", "Markdown", 343, 0, 0, 0, 0, 0, 0, 0, 106, 449
"d:\MyQuantProject\docs\GUIDES\QUICK_REFERENCE.md", "Markdown", 165, 0, 0, 0, 0, 0, 0, 0, 67, 232
"d:\MyQuantProject\docs\GUIDES\xgboost_quick_start.py", "Python", 0, 0, 108, 0, 0, 0, 0, 20, 32, 160
"d:\MyQuantProject\docs\IMPLEMENTATION\ADVANCED_SIMULATOR_GUIDE.md", "Markdown", 299, 0, 0, 0, 0, 0, 0, 0, 87, 386
"d:\MyQuantProject\docs\IMPLEMENTATION\DIVERGENCE_STRATEGY_OPTIMIZATION.md", "Markdown", 257, 0, 0, 0, 0, 0, 0, 0, 75, 332
"d:\MyQuantProject\docs\IMPLEMENTATION\FIXES_COMPLETED_SUMMARY.md", "Markdown", 211, 0, 0, 0, 0, 0, 0, 0, 64, 275
"d:\MyQuantProject\docs\IMPLEMENTATION\GUI_ENHANCEMENT_FEATURES.md", "Markdown", 269, 0, 0, 0, 0, 0, 0, 0, 75, 344
"d:\MyQuantProject\docs\IMPLEMENTATION\GUI_IMPLEMENTATION_SUMMARY.md", "Markdown", 291, 0, 0, 0, 0, 0, 0, 0, 86, 377
"d:\MyQuantProject\docs\IMPLEMENTATION\GUI_INDENTATION_FIX_SUMMARY.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 0, 22, 82
"d:\MyQuantProject\docs\IMPLEMENTATION\GUI_QUICK_START.md", "Markdown", 196, 0, 0, 0, 0, 0, 0, 0, 93, 289
"d:\MyQuantProject\docs\IMPLEMENTATION\IMPLEMENTATION_SUMMARY.md", "Markdown", 286, 0, 0, 0, 0, 0, 0, 0, 83, 369
"d:\MyQuantProject\docs\IMPLEMENTATION\LAYOUT_OPTIMIZATION_SUMMARY.md", "Markdown", 125, 0, 0, 0, 0, 0, 0, 0, 43, 168
"d:\MyQuantProject\docs\IMPLEMENTATION\MEAN_REVERSION_STRATEGY_GUIDE.md", "Markdown", 229, 0, 0, 0, 0, 0, 0, 0, 112, 341
"d:\MyQuantProject\docs\IMPLEMENTATION\MODIFICATIONS_SUMMARY.md", "Markdown", 118, 0, 0, 0, 0, 0, 0, 0, 39, 157
"d:\MyQuantProject\docs\IMPLEMENTATION\NEW_STRATEGY_IMPLEMENTATION.md", "Markdown", 327, 0, 0, 0, 0, 0, 0, 0, 84, 411
"d:\MyQuantProject\docs\IMPLEMENTATION\QUICK_START_ADVANCED_SIMULATOR.md", "Markdown", 172, 0, 0, 0, 0, 0, 0, 0, 58, 230
"d:\MyQuantProject\docs\NAVIGATION_MAP.md", "Markdown", 200, 0, 0, 0, 0, 0, 0, 0, 61, 261
"d:\MyQuantProject\docs\PROJECT_MANAGEMENT\COMPLETION_CHECKLIST.md", "Markdown", 243, 0, 0, 0, 0, 0, 0, 0, 76, 319
"d:\MyQuantProject\docs\PROJECT_MANAGEMENT\DEPLOYMENT_CHECKLIST.md", "Markdown", 288, 0, 0, 0, 0, 0, 0, 0, 86, 374
"d:\MyQuantProject\docs\PROJECT_MANAGEMENT\FILE_STRUCTURE.md", "Markdown", 57, 0, 0, 0, 0, 0, 0, 0, 17, 74
"d:\MyQuantProject\docs\PROJECT_MANAGEMENT\REQUIREMENTS_VERIFICATION.md", "Markdown", 202, 0, 0, 0, 0, 0, 0, 0, 63, 265
"d:\MyQuantProject\docs\QUICKSTART.md", "Markdown", 164, 0, 0, 0, 0, 0, 0, 0, 59, 223
"d:\MyQuantProject\docs\QUICK_REFERENCE.md", "Markdown", 223, 0, 0, 0, 0, 0, 0, 0, 88, 311
"d:\MyQuantProject\docs\RELEASES\RELEASE_FEATURES_v2.1.0.md", "Markdown", 377, 0, 0, 0, 0, 0, 0, 0, 106, 483
"d:\MyQuantProject\docs\RELEASES\RELEASE_FILES_SUMMARY.md", "Markdown", 228, 0, 0, 0, 0, 0, 0, 0, 65, 293
"d:\MyQuantProject\docs\RELEASES\RELEASE_v2026.0.0.md", "Markdown", 182, 0, 0, 0, 0, 0, 0, 0, 73, 255
"d:\MyQuantProject\docs\STRATEGIES\MEAN_REVERSION\MEAN_REVERSION_DELIVERY_SUMMARY.md", "Markdown", 285, 0, 0, 0, 0, 0, 0, 0, 85, 370
"d:\MyQuantProject\docs\STRATEGIES\MEAN_REVERSION\MEAN_REVERSION_ENHANCEMENT_GUIDE.md", "Markdown", 326, 0, 0, 0, 0, 0, 0, 0, 102, 428
"d:\MyQuantProject\docs\STRATEGIES\MEAN_REVERSION\MEAN_REVERSION_IMPROVEMENT_REPORT.md", "Markdown", 418, 0, 0, 0, 0, 0, 0, 0, 110, 528
"d:\MyQuantProject\docs\STRATEGIES\MEAN_REVERSION\MEAN_REVERSION_QUICK_START.md", "Markdown", 318, 0, 0, 0, 0, 0, 0, 0, 85, 403
"d:\MyQuantProject\docs\XGBOOST\DEPLOYMENT_CHECKLIST.md", "Markdown", 288, 0, 0, 0, 0, 0, 0, 0, 86, 374
"d:\MyQuantProject\docs\XGBOOST\FINAL_VERIFICATION.md", "Markdown", 244, 0, 0, 0, 0, 0, 0, 0, 70, 314
"d:\MyQuantProject\docs\XGBOOST\QUICK_REFERENCE.md", "Markdown", 165, 0, 0, 0, 0, 0, 0, 0, 67, 232
"d:\MyQuantProject\docs\XGBOOST\README.md", "Markdown", 42, 0, 0, 0, 0, 0, 0, 0, 15, 57
"d:\MyQuantProject\docs\XGBOOST\XGBOOST_SYSTEM_SUMMARY.md", "Markdown", 353, 0, 0, 0, 0, 0, 0, 0, 116, 469
"d:\MyQuantProject\docs\krus_grid_search_results.csv", "CSV", 0, 0, 0, 0, 4051, 0, 0, 0, 1, 4052
"d:\MyQuantProject\download_sp500_nasdaq100.py", "Python", 0, 0, 167, 0, 0, 0, 0, 30, 31, 228
"d:\MyQuantProject\main.py", "Python", 0, 0, 22, 0, 0, 0, 0, 5, 8, 35
"d:\MyQuantProject\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 9, 0, 14, 8, 31
"d:\MyQuantProject\run_gui.py", "Python", 0, 0, 8, 0, 0, 0, 0, 2, 3, 13
"d:\MyQuantProject\setup.py", "Python", 0, 0, 81, 0, 0, 0, 0, 5, 4, 90
"d:\MyQuantProject\shared\__init__.py", "Python", 0, 0, 2, 0, 0, 0, 0, 1, 2, 5
"d:\MyQuantProject\shared\memory_manager.py", "Python", 0, 0, 53, 0, 0, 0, 0, 32, 15, 100
"d:\MyQuantProject\tests\ADVANCED_SIMULATOR_README.py", "Python", 0, 0, 1, 0, 0, 0, 0, 148, 2, 151
"d:\MyQuantProject\tests\comprehensive_indent_fix.py", "Python", 0, 0, 53, 0, 0, 0, 0, 17, 15, 85
"d:\MyQuantProject\tests\debug_krus.py", "Python", 0, 0, 46, 0, 0, 0, 0, 4, 11, 61
"d:\MyQuantProject\tests\debug_krus2.py", "Python", 0, 0, 30, 0, 0, 0, 0, 3, 6, 39
"d:\MyQuantProject\tests\examples\xgboost_quick_start.py", "Python", 0, 0, 108, 0, 0, 0, 0, 20, 32, 160
"d:\MyQuantProject\tests\fix_chart_indentation.py", "Python", 0, 0, 23, 0, 0, 0, 0, 9, 11, 43
"d:\MyQuantProject\tests\fix_else_block.py", "Python", 0, 0, 14, 0, 0, 0, 0, 6, 6, 26
"d:\MyQuantProject\tests\fix_indentation.py", "Python", 0, 0, 14, 0, 0, 0, 0, 8, 9, 31
"d:\MyQuantProject\tests\fix_indentation_error.py", "Python", 0, 0, 28, 0, 0, 0, 0, 9, 9, 46
"d:\MyQuantProject\tests\fix_remaining_indent.py", "Python", 0, 0, 24, 0, 0, 0, 0, 12, 7, 43
"d:\MyQuantProject\tests\fix_simple_mode_indent.py", "Python", 0, 0, 35, 0, 0, 0, 0, 10, 14, 59
"d:\MyQuantProject\tests\smart_indent_fix.py", "Python", 0, 0, 32, 0, 0, 0, 0, 15, 13, 60
"d:\MyQuantProject\tests\test_advanced_simple.py", "Python", 0, 0, 58, 0, 0, 0, 0, 9, 15, 82
"d:\MyQuantProject\tests\test_advanced_simulator.py", "Python", 0, 0, 165, 0, 0, 0, 0, 25, 41, 231
"d:\MyQuantProject\tests\test_backtest_charts.py", "Python", 0, 0, 151, 0, 0, 0, 0, 23, 42, 216
"d:\MyQuantProject\tests\test_company_info.py", "Python", 0, 0, 32, 0, 0, 0, 0, 6, 13, 51
"d:\MyQuantProject\tests\test_fixed_backtest.py", "Python", 0, 0, 32, 0, 0, 0, 0, 2, 6, 40
"d:\MyQuantProject\tests\test_fixes.py", "Python", 0, 0, 135, 0, 0, 0, 0, 21, 32, 188
"d:\MyQuantProject\tests\test_mean_reversion_enhancement.py", "Python", 0, 0, 257, 0, 0, 0, 0, 50, 89, 396
"d:\MyQuantProject\tests\test_mean_reversion_fix.py", "Python", 0, 0, 49, 0, 0, 0, 0, 6, 11, 66
"d:\MyQuantProject\tests\test_mean_reversion_strategy.py", "Python", 0, 0, 176, 0, 0, 0, 0, 28, 49, 253
"d:\MyQuantProject\tests\test_new_features.py", "Python", 0, 0, 148, 0, 0, 0, 0, 15, 37, 200
"d:\MyQuantProject\tests\test_system.py", "Python", 0, 0, 65, 0, 0, 0, 0, 7, 17, 89
"d:\MyQuantProject\tests\test_xgboost_system.py", "Python", 0, 0, 276, 0, 0, 0, 0, 58, 121, 455
"d:\MyQuantProject\tests\verify_gui.py", "Python", 0, 0, 20, 0, 0, 0, 0, 5, 8, 33
"d:\MyQuantProject\tests\verify_gui_features.py", "Python", 0, 0, 130, 0, 0, 0, 0, 19, 33, 182
"d:\MyQuantProject\tests\verify_gui_xgboost.py", "Python", 0, 0, 124, 0, 0, 0, 0, 20, 25, 169
"d:\MyQuantProject\utils\__init__.py", "Python", 0, 0, 11, 0, 0, 0, 0, 1, 2, 14
"d:\MyQuantProject\utils\safe_access.py", "Python", 0, 0, 37, 0, 0, 0, 0, 79, 11, 127
"d:\MyQuantProject\utils\type_validator.py", "Python", 0, 0, 28, 0, 0, 0, 0, 36, 13, 77
"Total", "-", 15847, 361, 6978, 43, 4072, 9, 114, 2334, 6856, 36614
